status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic
228735667216_10155248349367217,"b'A letter sent by a Tory MP to universities asking for details of Brexit courses had been labelled ""sinister"" and ""McCarthyite"" by lecturers.'","b""UK MP's Brexit letter 'was research for book'""",link,http://www.bbc.co.uk/news/uk-politics-41747035?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 10:17:14,1050,174,65,878,15,15,46,4,92,0,-0.10174418604651163,uk,politics
228735667216_10155248260312217,"b'Fats Domino has been hailed as a ""pioneer"" and an ""icon"".'",b'Rock and roll legend Fats Domino dies',link,http://www.bbc.co.uk/news/entertainment-arts-41753839?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 09:42:20,13282,599,4453,5039,484,198,13,7534,14,0,-0.42769622710178334,entertainment,arts
228735667216_10155248198677217,"b'The Saudi people want a life in which ""religion translates to tolerance"" \xe2\x80\x94 Prince Mohammed bin Salman.'",b'Crown prince: Saudis want return to moderate Islam',link,http://www.bbc.co.uk/news/world-middle-east-41747476?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 09:17:21,18064,1145,1393,15958,862,207,983,11,44,0,0.4247745609871856,world,middle
228735667216_10155248093172217,"b'The UK shouldn\'t ""criminalise thought"" with plans to prosecute people who view extremist content online, watchdog warns'","b""New UK terror laws 'would criminalise thought'""",link,http://www.bbc.co.uk/news/uk-41744815?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 08:24:31,1508,345,247,1189,15,107,24,19,154,0,-0.21003134796238246,uk,
228735667216_10155247957892217,"b'""Hi there Karon, you\'ll see Croatia on your left-hand side""\n\nWhat happens when you\'re the only passenger on a plane. \xe2\x9c\x88\xef\xb8\x8f \xf0\x9f\xa4\xa3'",b'Woman is only passenger on holiday jet',link,http://www.bbc.co.uk/news/uk-scotland-glasgow-west-41748305?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 07:21:41,37136,1107,2070,28674,2196,1113,5124,11,18,0,0.4308083195462066,uk,scotland
228735667216_10155247894897217,b'Classified files on the Kennedy assassination are about to be released... so what are we going to find out?',"b""JFK assassination: The questions that won't go away""",link,http://www.bbc.co.uk/news/world-us-canada-41741216?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 06:45:14,3271,633,463,2998,67,164,21,19,2,0,0.1227106227106227,world,us
228735667216_10155247638667217,"b'""They look down on us, but they never come here""\n\nSome residents of Canvey Island in the Thames Estuary want freedom (from the local council).'",b'Why this Thames Estuary island wants independence',link,http://www.bbc.co.uk/news/uk-41691003?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 04:23:19,1399,90,108,1285,18,34,58,4,0,0,0.3157894736842105,uk,
228735667216_10155247539547217,"b""Einstein didn't have enough money to tip a courier, so scribbled down his secret to a happy life instead. \xf0\x9f\x98\x83""","b""Einstein's 'theory of happiness' notes sold for $1.5m""",link,http://www.bbc.co.uk/news/world-middle-east-41742785?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 03:30:22,18523,239,3451,16201,1292,928,90,6,6,0,0.2950043066322136,world,middle
228735667216_10155247463047217,"b'Half of British women and a fifth of men have been sexually harassed at work, a BBC survey says.'","b""'Half of women' sexually harassed at work""",link,http://www.bbc.co.uk/news/uk-41741615?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 02:53:51,6442,849,616,4870,40,303,109,698,423,0,-0.30896376350921806,uk,
228735667216_10155247375542217,"b""This isn't the first time Eminem launched legal action over copyright infringement.""",b'BBC Entertainment News',link,http://www.bbc.co.uk/news/world-asia-41744547,2017-10-25 01:44:47,2457,137,2,2225,85,19,117,1,10,0,0.41163793103448276,world,asia
228735667216_10155247340517217,"b""In Communist China, it's a man's world at the top.""",b'China reveals most powerful politicians - but where are the women?',link,http://www.bbc.co.uk/news/live/world-asia-china-41744904?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 01:15:33,1757,404,159,1398,23,24,176,37,99,0,0.08774373259052924,,
228735667216_10155247290312217,b'The son of famed pro-wrestler Davey Boy Smith says he used his grappling skills to rescue a woman from a bridge.',b'Canadian wrestler saves woman from bridge',link,http://www.bbc.com/news/world-us-canada-41740066?ocid=socialflow_facebook&ns_mchannel=social&ns_campaign=bbcnews&ns_source=facebook,2017-10-25 00:29:16,1325,47,55,1233,55,30,3,2,2,0,0.29347826086956524,world,us
