status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angries,num_thankfuls,stress_score,topic,
26781952138_10155957217007139,"b""Pic: Alia Bhatt announces 'Raazi' wrap with an emotional message""","b""Pic: Alia Bhatt announces 'Raazi' wrap with an emotional message - Bollywood films to look forward in 2018 | The Times of India""",link,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/pic-alia-bhatt-announces-raazi-wrap-with-an-emotional-message/photostory/61298829.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 5:53,108,1,1,103,5,0,0,0,0,0,0.5,entertainment,hindi
26781952138_10155957214602139,"b'\xe2\x80\xaaComplaint filed against #BiggBoss11 contestant, details here...'","b""FIR filed against 'Bigg Boss 11' contestants Priyank Sharma and Sapna Choudhary""",link,http://www.misskyra.com/celebs/fir-filed-against-bigg-boss-11-contestants-priyank-sharma-and-sapna-choudhary/articleshow/61296585.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 5:51,1763,72,16,1613,20,9,118,3,3,0,0.431372549,,
26781952138_10155957186852139,,"b""Four dead in Bihar's Rohtas after consuming spurious liquor""",link,https://timesofindia.indiatimes.com/india/four-dead-in-bihars-rohtas-after-consuming-spurious-liquor/articleshow/61292686.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:45,38,1,0,33,5,0,0,0,0,0,0.5,india,four-dead-in-bihars-rohtas-after-consuming-spurious-liquor
26781952138_10155957197262139,b'There are breaches all around you.',"b""Mobile payments aren't as safe as you may think""",link,https://www.gadgetsnow.com/tech-news/mobile-payments-arent-as-safe-as-you-may-think/articleshow/61291835.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:41,95,1,7,84,8,0,0,3,0,0,0.227272727,,
26781952138_10155957169417139,b'Will this help?',b'Punjab considers cut in liquor rates to check smuggling',link,https://timesofindia.indiatimes.com/city/chandigarh/pb-considers-cut-in-liquor-rates-to-check-smuggling/articleshow/61282358.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:30,50,2,0,41,7,0,2,0,0,0,0.5,city,chandigarh
26781952138_10155957173132139,,"b'Indore jail raises the bar, fattens up convicts'",link,https://timesofindia.indiatimes.com/city/indore/indore-jail-raises-the-bar-fattens-up-convicts/articleshow/61282389.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:19,58,2,0,55,3,0,0,0,0,0,0.5,city,indore
26781952138_10155957172107139,,"b'Indore jail raises the bar, fattens up convicts'",link,https://timesofindia.indiatimes.com/city/indore/indore-jail-raises-the-bar-fattens-up-convicts/articleshow/61282389.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:19,22,0,0,18,4,0,0,0,0,0,0.5,city,indore
26781952138_10155957170742139,"b""'Manikarnika: The Queen of Jhansi': Kangana Ranaut's regal avatar as Rani Laxmibai revealed""","b""'Manikarnika: The Queen of Jhansi': Kangana Ranaut's regal avatar as Rani Laxmibai revealed - Shaandar to Raees: First looks that impressed | The Times of India""",link,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/manikarnika-the-queen-of-jhansi-kanagana-ranauts-regal-avatar-as-rani-laxmibai-revealed/photostory/61295781.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI,10/28/17 5:18,583,2,1,548,27,6,2,0,0,0,0.414285714,entertainment,hindi
26781952138_10155957163482139,,b'Kamal Haasan hones political skills ahead of plunge',link,https://timesofindia.indiatimes.com/city/chennai/kamal-hones-political-skills-ahead-of-plunge/articleshow/61280907.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 5:11,119,14,14,106,10,0,3,0,0,0,0.5,city,chennai
26781952138_10155957146292139,b'Increasing awareness about the possibility of obsessions in daily life becoming a serious condition.',"b""Do you suffer from OCD? It's time to seek professional help""",link,https://timesofindia.indiatimes.com/city/bengaluru/do-you-suffer-from-ocd-its-time-to-seek-professional-help/articleshow/61281793.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:58,129,4,16,116,8,1,1,3,0,0,0.230769231,city,bengaluru
26781952138_10155957129577139,b'Incredible!',"b'This doctor keeps creed, serves poor by charging Rs 2/patient'",link,https://timesofindia.indiatimes.com/city/chennai/two-rupee-doctor-serves-chennais-underprivileged/articleshow/61280345.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:49,1633,27,157,1502,101,33,2,0,0,0,0.378676471,city,chennai
26781952138_10155957122642139,b'Reactions?',"b""'Tabelas' in Gujarat selling calves for slaughter: Report""",link,http://timesofindia.indiatimes.com/city/vadodara/tabelas-in-gujarat-selling-calves-for-slaughter-report/articleshow/61280130.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:39,410,63,43,238,17,11,75,10,59,0,0.066860465,city,vadodara
26781952138_10155957120122139,b'You will never know what being married feels like unless you take the plunge.',b'7 married women reveal secrets every girl should know',link,https://timesofindia.indiatimes.com/life-style/relationships/secrets-women-wished-they-knew-before-getting-married/photostory/60970358.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:37,492,4,23,475,10,3,2,3,0,0,0.25,life-style,relationships
26781952138_10155955232352139,b'Be sure of what you eat',"b'From Bread To Apple, You Are Probably Eating Foods Loaded With Harmful Chemicals'",link,http://recipes.timesofindia.com/articles/health/from-bread-to-apple-you-are-eating-foods-loaded-with-harmful-chemicals/photostory/61270593.cms?utm_source=facebook.com&utm_medium=referral&utm_campaign=TOI,10/28/17 4:30,127,5,15,120,4,1,0,2,0,0,0.142857143,,
26781952138_10155957047527139,,b'IS operative finds love in Kolkata',link,https://timesofindia.indiatimes.com/city/ahmedabad/is-operative-finds-love-in-kolkata/articleshow/61280627.cms?utm_source=facebook.com&utm_medium=social&utm_campaign=TOI&utm_content=om-bm,10/28/17 4:21,126,14,3,92,7,0,24,0,3,0,0.411764706,city,ahmedabad
